Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP30_H2_raw,SGP30_Ethanol_raw,SGP30_H2,SGP30_Ethanol,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,sgp40_voc_index,sgp41_voc_index,Temperature_C,Humidity_%,FS3000_Velocity_m/s
22/11/24 - 12:12:28,0,400,46996,30428,9.19252e-30,2.88805e-11,33571,32034,19719,0,0,22.9545,45.156,0
22/11/24 - 12:12:30,0,400,46996,30428,9.19252e-30,2.88805e-11,33570,32169,20574,0,0,22.9706,45.4032,0
22/11/24 - 12:12:31,0,400,46996,30428,9.19252e-30,2.88805e-11,33559,32273,20405,0,0,22.9145,45.5604,0
22/11/24 - 12:12:32,0,400,46996,30428,9.19252e-30,2.88805e-11,33562,32395,20302,0,0,22.9412,45.5543,0
22/11/24 - 12:12:33,0,400,46996,30428,9.19252e-30,2.88805e-11,33571,32471,20235,0,0,22.9545,45.6611,0
22/11/24 - 12:12:34,8,400,46996,30428,9.19252e-30,2.88805e-11,33583,32550,20178,0,0,22.9706,45.6611,0
22/11/24 - 12:12:35,10,400,46996,30428,9.19252e-30,2.88805e-11,33594,32628,20125,0,0,22.9839,45.4765,0
22/11/24 - 12:12:36,3,400,46996,30428,9.19252e-30,2.88805e-11,33619,32671,20095,0,0,23.0106,45.2796,0
22/11/24 - 12:12:37,0,400,46996,30428,9.19252e-30,2.88805e-11,33646,32742,20059,0,0,22.9412,44.9409,0.11419
22/11/24 - 12:12:39,8,455,46996,30428,9.19252e-30,2.88805e-11,33639,32750,20026,0,0,22.9545,44.741,0
22/11/24 - 12:12:40,11,451,46996,30428,9.19252e-30,2.88805e-11,33623,32744,20006,0,0,22.9412,45.153,3.98286
22/11/24 - 12:12:41,18,454,46996,30428,9.19252e-30,2.88805e-11,33610,32768,19972,0,0,22.9278,45.3498,0.735889
22/11/24 - 12:12:42,19,516,46996,30428,9.19252e-30,2.88805e-11,33599,32771,19948,0,0,22.9278,45.5863,0
22/11/24 - 12:12:43,32,672,46996,30428,9.19252e-30,2.88805e-11,33546,32711,19927,0,0,22.9545,46.3432,0
22/11/24 - 12:12:44,49,734,46996,30428,9.19252e-30,2.88805e-11,33487,32654,19908,0,0,22.9145,47.5776,0.160711
22/11/24 - 12:12:45,48,636,46996,30428,9.19252e-30,2.88805e-11,33423,32622,19876,0,0,22.8985,48.3055,0.754921
22/11/24 - 12:12:46,51,579,46996,30428,9.19252e-30,2.88805e-11,33382,32665,19867,0,0,22.9412,48.2048,0
22/11/24 - 12:12:48,49,529,46996,30428,9.19252e-30,2.88805e-11,33359,32688,19839,0,0,22.8985,47.9271,0
22/11/24 - 12:12:49,58,554,46996,30428,9.19252e-30,2.88805e-11,33346,32717,19825,0,0,22.8584,47.57,2.82893
22/11/24 - 12:12:50,49,566,46996,30428,9.19252e-30,2.88805e-11,33351,32717,19809,0,0,22.8985,47.9759,0
22/11/24 - 12:12:51,56,511,46996,30428,9.19252e-30,2.88805e-11,33327,32738,19794,0,0,22.829,47.9438,0
