Timestamp,SGP30_tVOC_ppb,SGP30_CO2eq_ppm,SGP40_SRAW_VOC,SGP41_SRAW_VOC,SGP41_SRAW_NOX,Temperature_C,Humidity_%
17/10/24 - 16:46:12,0,400,33922,31310,19365,24.4686,62.8641
17/10/24 - 16:46:13,0,400,33935,31484,19809,24.4232,62.858
17/10/24 - 16:46:14,0,400,33923,31631,19636,24.4686,62.8733
17/10/24 - 16:46:16,0,400,33926,31774,19525,24.4686,62.8122
17/10/24 - 16:46:17,0,400,33935,31853,19440,24.4499,62.768
17/10/24 - 16:46:18,0,400,33918,31933,19373,24.4686,62.6703
17/10/24 - 16:46:19,0,407,33927,32004,19310,24.4232,62.5788
17/10/24 - 16:46:20,0,403,33927,32048,19265,24.4953,62.6123
17/10/24 - 16:46:21,4,415,33926,32105,19216,24.4686,62.62
17/10/24 - 16:46:22,2,413,33939,32135,19169,24.4366,62.6017
17/10/24 - 16:46:24,2,409,33946,32176,19126,24.4686,62.649
17/10/24 - 16:46:25,2,410,33943,32199,19084,24.4366,62.6123
17/10/24 - 16:46:26,2,405,33947,32225,19051,24.4366,62.6017
17/10/24 - 16:46:27,0,406,33942,32242,19014,24.4366,62.6017
17/10/24 - 16:46:28,5,404,33939,32257,18983,24.4953,62.562
17/10/24 - 16:46:29,8,412,33930,32277,18946,24.5247,62.5666
17/10/24 - 16:46:30,8,401,33923,32295,18916,24.5087,62.5025
17/10/24 - 16:46:31,0,403,33923,32304,18889,24.4499,62.5025
17/10/24 - 16:46:32,1,400,33934,32321,18851,24.5087,62.5742
17/10/24 - 16:46:33,5,405,33935,32325,18827,24.5087,62.5238
17/10/24 - 16:46:35,0,401,33938,32336,18792,24.4499,62.5437
17/10/24 - 16:46:36,10,407,33935,32339,18767,24.5247,62.5879
17/10/24 - 16:46:37,6,412,33935,32345,18744,24.538,62.5193
17/10/24 - 16:46:38,3,400,33926,32356,18705,24.5247,62.5666
17/10/24 - 16:46:39,3,402,33935,32351,18684,24.5647,62.4521
17/10/24 - 16:46:40,9,407,33934,32356,18656,24.538,62.5391
17/10/24 - 16:46:41,10,402,33939,32359,18637,24.538,62.5391
17/10/24 - 16:46:42,0,402,33943,32365,18611,24.5087,62.565
17/10/24 - 16:46:43,11,406,33934,32375,18577,24.538,62.5299
17/10/24 - 16:46:45,11,404,33935,32374,18551,24.5087,62.5116
17/10/24 - 16:46:46,8,405,33946,32372,18537,24.4953,62.5299
17/10/24 - 16:46:47,14,410,33935,32386,18511,24.538,62.5605
17/10/24 - 16:46:48,3,404,33927,32389,18493,24.5941,62.5071
17/10/24 - 16:46:49,10,411,33918,32377,18459,24.5808,62.5055
17/10/24 - 16:46:50,5,409,33923,32378,18448,24.5514,62.4918
17/10/24 - 16:46:51,10,410,33918,32386,18423,24.5808,62.5666
17/10/24 - 16:46:52,13,420,33927,32392,18407,24.538,62.4689
17/10/24 - 16:46:53,6,406,33923,32391,18384,24.5808,62.4842
17/10/24 - 16:46:55,10,411,33930,32395,18364,24.5941,62.4369
17/10/24 - 16:46:56,15,412,33923,32398,18335,24.5647,62.4613
17/10/24 - 16:46:57,10,415,33930,32389,18322,24.6208,62.3911
17/10/24 - 16:46:58,13,412,33935,32394,18293,24.5941,62.4247
17/10/24 - 16:46:59,13,411,33927,32406,18277,24.6075,62.4094
17/10/24 - 16:47:00,9,400,33922,32401,18259,24.6502,62.3133
17/10/24 - 16:47:01,13,415,33931,32408,18239,24.5941,62.3453
17/10/24 - 16:47:02,9,414,33930,32413,18224,24.5808,62.2095
17/10/24 - 16:47:03,5,403,33939,32401,18206,24.5941,62.2736
17/10/24 - 16:47:05,11,414,33939,32410,18190,24.6075,62.2858
17/10/24 - 16:47:06,8,412,33938,32408,18168,24.5247,62.1866
17/10/24 - 16:47:07,8,413,33943,32408,18158,24.5941,62.2538
17/10/24 - 16:47:08,10,417,33950,32400,18141,24.5647,62.2263
17/10/24 - 16:47:09,9,414,33919,32409,18120,24.538,62.2827
17/10/24 - 16:47:10,10,419,33935,32411,18108,24.5514,62.2126
17/10/24 - 16:47:11,12,424,33934,32410,18092,24.5941,62.2217
17/10/24 - 16:47:12,12,416,33931,32406,18075,24.5941,62.1912
17/10/24 - 16:47:13,12,415,33922,32416,18059,24.5808,62.2507
17/10/24 - 16:47:15,12,417,33907,32410,18043,24.5514,62.1912
17/10/24 - 16:47:16,14,419,33911,32426,18025,24.6075,62.2446
17/10/24 - 16:47:17,11,416,33918,32410,18013,24.5514,62.2446
17/10/24 - 16:47:18,8,419,33923,32421,17997,24.6368,62.24
17/10/24 - 16:47:19,17,419,33918,32408,17986,24.5647,62.359
17/10/24 - 16:47:20,12,416,33915,32409,17971,24.6208,62.3194
17/10/24 - 16:47:21,15,416,33899,32410,17951,24.6075,62.2553
17/10/24 - 16:47:22,18,417,33906,32413,17941,24.5941,62.1912
17/10/24 - 16:47:23,15,419,33907,32413,17926,24.6075,62.2644
17/10/24 - 16:47:24,17,417,33910,32420,17917,24.6635,62.1729
17/10/24 - 16:47:26,8,411,33923,32418,17902,24.6368,62.1576
17/10/24 - 16:47:27,16,421,33911,32420,17887,24.6502,62.2827
17/10/24 - 16:47:28,22,412,33918,32418,17875,24.6796,62.1958
17/10/24 - 16:47:29,10,415,33911,32418,17874,24.6075,62.2232
17/10/24 - 16:47:30,20,414,33930,32411,17845,24.6368,62.1668
17/10/24 - 16:47:31,14,420,33931,32398,17841,24.6368,62.1775
17/10/24 - 16:47:32,15,413,33919,32418,17832,24.6929,62.2309
17/10/24 - 16:47:33,13,415,33914,32408,17818,24.6502,62.1592
17/10/24 - 16:47:34,16,417,33915,32410,17812,24.7196,62.121
17/10/24 - 16:47:36,19,424,33906,32411,17802,24.6929,62.1775
17/10/24 - 16:47:37,7,404,33895,32403,17787,24.6208,62.1958
17/10/24 - 16:47:38,17,414,33915,32402,17773,24.6929,62.1485
17/10/24 - 16:47:39,10,406,33910,32408,17761,24.6796,62.1042
17/10/24 - 16:47:40,14,407,33895,32409,17749,24.7063,62.118
17/10/24 - 16:47:41,10,417,33894,32401,17742,24.7196,62.121
17/10/24 - 16:47:42,12,415,33887,32401,17738,24.7196,62.1118
17/10/24 - 16:47:43,19,416,33899,32399,17717,24.6929,62.1576
17/10/24 - 16:47:44,11,418,33894,32399,17715,24.6796,62.0844
17/10/24 - 16:47:46,10,410,33899,32399,17707,24.6796,62.1347
