[2024-10-29 10:42:15] Program started.
[2024-10-29 10:42:15] Initializing SHT35 on channel 3...
[2024-10-29 10:42:15] Initializing SGP30 on channel 2...
[2024-10-29 10:42:15] Inceptive baseline set: TVOC = 36678
[2024-10-29 10:42:15] No baseline file found, skipping baseline setting.
[2024-10-29 10:42:15] Temperature: 13.918136 °C, Humidity: 83.978027 %
[2024-10-29 10:42:15] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:16] Temperature: 13.963531 °C, Humidity: 83.987183 %
[2024-10-29 10:42:16] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:17] Temperature: 13.931487 °C, Humidity: 84.026855 %
[2024-10-29 10:42:17] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:18] Temperature: 13.947509 °C, Humidity: 83.973450 %
[2024-10-29 10:42:18] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:19] Temperature: 13.963531 °C, Humidity: 84.023804 %
[2024-10-29 10:42:19] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:20] Temperature: 13.888762 °C, Humidity: 83.941406 %
[2024-10-29 10:42:20] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:21] Temperature: 13.947509 °C, Humidity: 84.077209 %
[2024-10-29 10:42:21] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:22] Temperature: 13.963531 °C, Humidity: 84.078735 %
[2024-10-29 10:42:22] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:23] Temperature: 13.918136 °C, Humidity: 84.032959 %
[2024-10-29 10:42:23] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:24] Temperature: 13.976883 °C, Humidity: 84.081787 %
[2024-10-29 10:42:24] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:25] Temperature: 13.931487 °C, Humidity: 84.136719 %
[2024-10-29 10:42:25] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:26] Temperature: 13.963531 °C, Humidity: 84.051270 %
[2024-10-29 10:42:26] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:27] Temperature: 13.931487 °C, Humidity: 84.118408 %
[2024-10-29 10:42:27] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:28] Temperature: 13.947509 °C, Humidity: 84.174866 %
[2024-10-29 10:42:28] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:29] Temperature: 13.976883 °C, Humidity: 84.138245 %
[2024-10-29 10:42:29] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:30] Temperature: 13.963531 °C, Humidity: 84.216064 %
[2024-10-29 10:42:30] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:31] Temperature: 13.990234 °C, Humidity: 84.251167 %
[2024-10-29 10:42:31] SGP30 tVOC: 0 ppb, CO2eq: 402 ppm
[2024-10-29 10:42:32] Temperature: 13.947509 °C, Humidity: 84.193176 %
[2024-10-29 10:42:32] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 10:42:33] Temperature: 14.003586 °C, Humidity: 84.252693 %
[2024-10-29 10:42:33] SGP30 tVOC: 0 ppb, CO2eq: 404 ppm
[2024-10-29 10:42:34] Temperature: 13.947509 °C, Humidity: 84.251167 %
[2024-10-29 10:42:34] SGP30 tVOC: 0 ppb, CO2eq: 404 ppm
[2024-10-29 10:42:35] Temperature: 13.918136 °C, Humidity: 84.243530 %
