[2024-10-29 08:50:28] Initializing SHT35 on channel 3...
[2024-10-29 08:50:28] Initializing SGP30 on channel 2...
[2024-10-29 08:50:28] Temperature: 12.817960 °C, Humidity: 70.907150 %
[2024-10-29 08:50:28] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:29] Temperature: 12.804608 °C, Humidity: 70.914780 %
[2024-10-29 08:50:29] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:30] Temperature: 12.804608 °C, Humidity: 70.884262 %
[2024-10-29 08:50:30] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:31] Temperature: 12.847334 °C, Humidity: 70.884262 %
[2024-10-29 08:50:31] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:32] Temperature: 12.817960 °C, Humidity: 70.861374 %
[2024-10-29 08:50:32] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:33] Temperature: 12.847334 °C, Humidity: 70.930038 %
[2024-10-29 08:50:33] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:34] Temperature: 12.833982 °C, Humidity: 70.939194 %
[2024-10-29 08:50:34] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:36] Temperature: 12.847334 °C, Humidity: 70.884262 %
[2024-10-29 08:50:36] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:37] Temperature: 12.804608 °C, Humidity: 70.905624 %
[2024-10-29 08:50:37] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:38] Temperature: 12.817960 °C, Humidity: 70.879684 %
[2024-10-29 08:50:38] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:39] Temperature: 12.847334 °C, Humidity: 70.923935 %
[2024-10-29 08:50:39] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:40] Temperature: 12.817960 °C, Humidity: 70.907150 %
[2024-10-29 08:50:40] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:41] Temperature: 12.804608 °C, Humidity: 70.960556 %
[2024-10-29 08:50:41] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:42] Temperature: 12.874037 °C, Humidity: 70.965134 %
[2024-10-29 08:50:42] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:43] Temperature: 12.890059 °C, Humidity: 70.957504 %
[2024-10-29 08:50:43] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:44] Temperature: 12.833982 °C, Humidity: 70.946823 %
[2024-10-29 08:50:44] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:45] Temperature: 12.804608 °C, Humidity: 70.914780 %
[2024-10-29 08:50:45] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:46] Temperature: 12.833982 °C, Humidity: 70.957504 %
[2024-10-29 08:50:46] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:47] Temperature: 12.804608 °C, Humidity: 70.933090 %
[2024-10-29 08:50:47] SGP30 tVOC: 0 ppb, CO2eq: 409 ppm
[2024-10-29 08:50:48] Temperature: 12.804608 °C, Humidity: 70.951401 %
[2024-10-29 08:50:48] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:49] Temperature: 12.817960 °C, Humidity: 70.980392 %
[2024-10-29 08:50:49] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:50] Temperature: 12.860685 °C, Humidity: 70.989548 %
[2024-10-29 08:50:50] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:51] Temperature: 12.817960 °C, Humidity: 71.020065 %
[2024-10-29 08:50:51] SGP30 tVOC: 0 ppb, CO2eq: 401 ppm
[2024-10-29 08:50:52] Temperature: 12.833982 °C, Humidity: 70.975815 %
[2024-10-29 08:50:52] SGP30 tVOC: 0 ppb, CO2eq: 400 ppm
[2024-10-29 08:50:53] Temperature: 12.833982 °C, Humidity: 70.984970 %
[2024-10-29 08:50:53] SGP30 tVOC: 0 ppb, CO2eq: 407 ppm
