Horodatage,PGA,Valeur_brute,Scale (V/bit),Tension (V),Canal
2025-04-29 07:51:33,6.144,14395,0.0001875,2.699063,AIN0
2025-04-29 07:51:33,6.144,7756,0.0001875,1.454250,AIN1
2025-04-29 07:51:33,6.144,774,0.0001875,0.145125,AIN2
2025-04-29 07:51:33,6.144,8205,0.0001875,1.538438,AIN3
2025-04-29 07:51:33,6.144,0,0.0001875,0.000000,AIN0-AIN1
2025-04-29 07:51:33,6.144,63,0.0001875,0.011813,AIN2-AIN3
2025-04-29 07:51:33,4.096,20037,0.000125,2.504625,AIN0
2025-04-29 07:51:33,4.096,-391,0.000125,-0.048875,AIN1
2025-04-29 07:51:33,4.096,9291,0.000125,1.161375,AIN2
2025-04-29 07:51:33,4.096,5267,0.000125,0.658375,AIN3
2025-04-29 07:51:33,4.096,0,0.000125,0.000000,AIN0-AIN1
2025-04-29 07:51:33,4.096,443,0.000125,0.055375,AIN2-AIN3
2025-04-29 07:51:33,2.048,2587,6.25e-05,0.161688,AIN0
2025-04-29 07:51:33,2.048,3044,6.25e-05,0.190250,AIN1
2025-04-29 07:51:33,2.048,10679,6.25e-05,0.667438,AIN2
2025-04-29 07:51:33,2.048,384,6.25e-05,0.024000,AIN3
2025-04-29 07:51:33,2.048,0,6.25e-05,0.000000,AIN0-AIN1
2025-04-29 07:51:33,2.048,114,6.25e-05,0.007125,AIN2-AIN3
2025-04-29 07:51:33,1.024,-614,3.125e-05,-0.019187,AIN0
2025-04-29 07:51:33,1.024,21704,3.125e-05,0.678250,AIN1
2025-04-29 07:51:33,1.024,5386,3.125e-05,0.168313,AIN2
2025-04-29 07:51:33,1.024,4958,3.125e-05,0.154938,AIN3
2025-04-29 07:51:33,1.024,0,3.125e-05,0.000000,AIN0-AIN1
2025-04-29 07:51:33,1.024,3,3.125e-05,0.000094,AIN2-AIN3
2025-04-29 07:51:33,0.512,4732,1.5625e-05,0.073938,AIN0
2025-04-29 07:51:33,0.512,12659,1.5625e-05,0.197797,AIN1
2025-04-29 07:51:34,0.512,-3836,1.5625e-05,-0.059938,AIN2
2025-04-29 07:51:34,0.512,6487,1.5625e-05,0.101359,AIN3
2025-04-29 07:51:34,0.512,1,1.5625e-05,0.000016,AIN0-AIN1
2025-04-29 07:51:34,0.512,7,1.5625e-05,0.000109,AIN2-AIN3
2025-04-29 07:51:34,0.256,32121,7.8125e-06,0.250945,AIN0
2025-04-29 07:51:34,0.256,-8381,7.8125e-06,-0.065477,AIN1
2025-04-29 07:51:34,0.256,1936,7.8125e-06,0.015125,AIN2
2025-04-29 07:51:34,0.256,12814,7.8125e-06,0.100109,AIN3
