time_s,voltage_V,raw,gain
0.001,0.153102,778371,2
0.562,0.153111,778419,2
1.123,0.153128,778502,2
1.684,0.153130,778516,2
2.245,0.153133,778530,2
2.806,0.153120,778463,2
3.367,0.153135,778540,2
3.928,0.153141,778568,2
4.489,0.153140,778566,2
5.050,0.153144,778584,2
5.611,0.153145,778588,2
6.173,0.153151,778622,2
6.734,0.153126,778492,2
7.295,0.153152,778626,2
7.856,0.153131,778521,2
8.417,0.153161,778671,2
8.978,0.153143,778582,2
9.539,0.153168,778706,2
10.100,0.153148,778605,2
10.661,0.153160,778664,2
11.221,0.153144,778586,2
11.782,0.153149,778611,2
12.343,0.153147,778598,2
12.904,0.153143,778581,2
13.465,0.153133,778530,2
14.027,0.153132,778523,2
14.588,0.153143,778581,2
15.149,0.153122,778475,2
15.710,0.153133,778528,2
